index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17769,-28.27570090000006,7528736,7362416,7324912,7484112,7573776,7376144,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425456,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7366016
17770,-27.703271000000086,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7443712,7343840,7334144,7497680,7468880,7474544,7425440,7367056,7564320,7526576,7378320,7360432,7507248,7373712,7364080
17771,-27.130841099999998,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7334144,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507248,7373712,7364080
17772,-26.558411200000023,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17773,-25.98598130000005,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17774,-25.413551400000074,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17775,-24.841121499999986,7528736,7362416,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17776,-24.26869160000001,7528736,7361664,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17777,-23.696261700000036,7528736,7361664,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17778,-23.12383180000006,7528736,7361664,7324912,7484112,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
17779,-22.551401600000077,7528736,7361664,7324912,7483552,7573776,7375968,7378432,7390800,7351088,7441760,7343840,7372832,7497680,7468880,7474544,7425440,7367056,7563712,7526576,7378320,7360432,7507008,7373712,7364080
